=== Kernel Computation Profiling (All Functions) ===

 Count  Overhead File                    Line Function
     1         0 …er/abstractlattice.jl   192 has_nontrivial_extended_info
     1         1 …er/abstractlattice.jl   198 has_nontrivial_extended_info
     1         0 …er/abstractlattice.jl   300 tmerge(a::Any, b::Any)
     3         3 …er/abstractlattice.jl   151 ⊑
     2         2 …e/compiler/cicache.jl    56 get
     1         0 …e/compiler/effects.jl   212 encode_effects
     3         0 …er/inferenceresult.jl   231 cache_lookup(lattice::Core.Compil…
     1         0 …er/inferenceresult.jl   199 elim_free_typevars
    31         0 …er/inferenceresult.jl    27 matching_cache_argtypes
     3         0 …er/inferenceresult.jl    28 matching_cache_argtypes
    31         0 …er/inferenceresult.jl   109 most_general_argtypes
     8         7 …er/inferenceresult.jl   111 most_general_argtypes(method::Met…
    18         0 …er/inferenceresult.jl   115 most_general_argtypes(method::Met…
     1         0 …er/inferenceresult.jl   120 most_general_argtypes(method::Met…
     2         0 …er/inferenceresult.jl   151 most_general_argtypes(method::Met…
     1         0 …er/inferenceresult.jl   173 most_general_argtypes(method::Met…
     1         0 …er/inferenceresult.jl   179 most_general_argtypes(method::Met…
     1         0 …ler/inferencestate.jl   673 Core.Compiler.IRInterpretationSta…
     1         0 …ler/inferencestate.jl   677 Core.Compiler.IRInterpretationSta…
     6         6 …ler/inferencestate.jl   693 Core.Compiler.IRInterpretationSta…
    16         0 …ler/inferencestate.jl   698 Core.Compiler.IRInterpretationSta…
     2         0 …ler/inferencestate.jl   699 Core.Compiler.IRInterpretationSta…
     1         1 …ler/inferencestate.jl     ? Core.Compiler.InferenceState(resu…
     4         0 …ler/inferencestate.jl   256 Core.Compiler.InferenceState(resu…
     1         0 …ler/inferencestate.jl   261 Core.Compiler.InferenceState(resu…
     4         1 …ler/inferencestate.jl   263 Core.Compiler.InferenceState(resu…
     1         0 …ler/inferencestate.jl   265 Core.Compiler.InferenceState(resu…
     1         0 …ler/inferencestate.jl   279 Core.Compiler.InferenceState(resu…
     1         0 …ler/inferencestate.jl   282 Core.Compiler.InferenceState(resu…
     1         0 …ler/inferencestate.jl   283 Core.Compiler.InferenceState(resu…
     1         1 …ler/inferencestate.jl   292 Core.Compiler.InferenceState(resu…
     1         0 …ler/inferencestate.jl   302 Core.Compiler.InferenceState(resu…
    14         0 …ler/inferencestate.jl   430 Core.Compiler.InferenceState(resu…
    16         0 …ler/inferencestate.jl   433 Core.Compiler.InferenceState(resu…
     1         0 …ler/inferencestate.jl   128 TwoPhaseDefUseMap
     1         1 …ler/inferencestate.jl   784 add_backedge!
     1         0 …ler/inferencestate.jl   785 add_backedge!
     1         0 …ler/inferencestate.jl   400 compute_trycatch(code::Vector{Any…
    31         0 …ler/inferencestate.jl   178 get!
     1         0 …ler/inferencestate.jl   866 get_max_methods
     1         1 …ler/inferencestate.jl   884 get_max_methods_for_func
     1         0 …ler/inferencestate.jl   609 get_stmt_edges!
     1         0 …ler/inferencestate.jl   612 get_stmt_edges!
     1         1 …ler/inferencestate.jl   817 merge_effects!
     1         0 …ler/inferencestate.jl   585 record_ssa_assign!(𝕃ᵢ::Core.Compi…
     1         1 …ler/inferencestate.jl   752 update_valid_age!
    64         0 …mpiler/methodtable.jl    74 #findall#281
    18         0 …mpiler/methodtable.jl   113 findall(sig::Type, table::Core.Co…
     1         0 …mpiler/methodtable.jl   116 findall(sig::Type, table::Core.Co…
    46         0 …mpiler/methodtable.jl   119 findall(sig::Type, table::Core.Co…
     1         0 …mpiler/methodtable.jl   104 _findall
    63         0 …mpiler/methodtable.jl   105 _findall
    64         0 …mpiler/methodtable.jl    73 findall
    65         0 …mpiler/methodtable.jl   110 findall
     4         0 …/compiler/optimize.jl   337 argextype
     1         1 …/compiler/optimize.jl   339 argextype(x::Any, compact::Core.C…
     8         0 …/compiler/optimize.jl   340 argextype
     7         0 …/compiler/optimize.jl   341 argextype(x::Any, compact::Core.C…
     6         6 …/compiler/optimize.jl   344 argextype(x::Any, src::Core.Compi…
     1         1 …/compiler/optimize.jl   358 argextype(x::Any, src::Core.Compi…
     3         0 …/compiler/optimize.jl   369 argextype(x::Any, src::Core.Compi…
     1         1 …/compiler/optimize.jl   375 argextype(x::Any, src::Core.Compi…
     3         0 …/compiler/optimize.jl   531 convert_to_ircode(ci::Core.CodeIn…
     1         0 …/compiler/optimize.jl   536 convert_to_ircode(ci::Core.CodeIn…
     3         1 …/compiler/optimize.jl   608 convert_to_ircode(ci::Core.CodeIn…
     1         0 …/compiler/optimize.jl   735 dst
